name,total_contributions
Federal Government of the Usa,5600
Fox Rothschild LLP,5600
Envirovac Holdings,5600
Envirosep,5600
MOUNTAIRE CORP,5600
Christensen Group,5600
Ei Microcircuits,5600
El Dorado Holdings,5600
Chief Oil & Gas,5600
Cassling Diagnostic Imaging,5600
Element Electronics,5600
Elliot Law Firm,5600
Chesnick Furniture Co,5600
MR Tanner,5600
Freedom Surveillance LLC,5600
Engel Family Farms,5600
Catholic Charities,5600
Central Texas Pediatric Orthopedics,5600
First Piedmont Corp,5600
Employment Screening Services,5600
Frederic Dorwart Lawyers Pllc,5600
Encapital Holdings,5600
Frank Uhlhorn Construction,5600
Franklin Templeton Investments,5600
First Horizon Corp,5600
M&M Industries,5600
Buckley Muething Capital Management,5599
Bottomley Evergreens & Farms,5560
Bourns Inc,5550
Houston Pilots,5550
Florida Citrus Mutual,5550
Avery Ranch Golf Club,5500
San Joaquin Valley College,5500
First Texas Bank,5500
Radley Chevrolet,5500
Sparks Toyota,5500
Courtesy Motors,5500
Savoy Contract Furniture,5500
Jeffrey J Kimbell & Assoc,5500
Neely Engineering & Contracting LLC,5500
Shine Team Realty,5500
Kmw Group,5500
Jerome Stevens Pharmaceuticals,5500
Paige Bates Md,5500
Oakland Catholic High School,5500
Roehl Transport,5500
Remi Properties,5500
Pure Cigs LLC,5500
Embree Group,5500
Texas Timberjack,5500
Texas Marine,5500
Emr Inc,5500
Hsc Industrial Coatings,5500
Great Stuff,5500
Pocomo Motors,5500
Rochester Athletic Club,5500
Table Mountain Rancheria,5500
United Motorcoach Assn,5500
Idaho Central Credit Union,5500
Vanantwerp Attorneys,5500
Web Inc,5500
Danny Sadler,5500
Sym Financial Advisor,5500
Victory Solutions,5500
Rondele Ranch,5500
Sutter Masonry,5500
Sutliff Auto Group,5500
Alscott Inc,5500
Golden Eagle Distributors,5500
S3,5500
Wavelink Inc,5500
Osceola Medical Group,5500
Jakes Landing LLC,5500
Ferguson Construction,5500
Trivector Services,5500
Americans for Intelligent Deterrence & Defense,5500
Leo Law LLC,5500
Major Industries,5500
Musical Coaches,5500
"Lawrence E Marino, Aplc",5500
Macuch Steel Products,5500
BlackRock Inc,5500
Blake Magee Co,5500
LifePoint Health,5500
Praxiis Business Advisors,5454
Ewa,5450
Lundberg Family Farms,5450
American Cast Iron Pipe,5420
State of Missouri,5401
Pelco Structural,5400
Garlyn Shelton Auto Group,5400
EDENS Inc,5400
Ray Investments,5400
Way Construction,5400
Five Stones Research,5400
Eastern Band of Cherokee Indians,5400
Igie Asia Data Marketing,5400
Danialle Karmanos Work It Out,5400
San Manuel Band of Mission Indians,5400
Western Mutual Insurance,5400
Carolina Hurricanes,5400
Martin Gas Co,5400
Brenda Starwalt CPA,5400
McKinley Real Estate Management Co,5400
Gila River Indian Community,5400
Black Diamond Capital Partners,5400
McCune & Assoc,5400
Detroit Salt,5400
SMS Co,5400
United Refining,5400
Thunder Down Under,5400
Whitis Consulting,5400
Mercy Hospital,5400
Cal American Construction,5400
Pacific Properties,5400
Suncoast Financial,5400
Aaa,5400
Steuart Laboratories,5400
Sweeping Corp of America,5400
Sycuan Band of the Kumeyaay Nation,5400
Synergi Partners,5400
Los Angeles Chargers,5400
College Loan Corp,5400
Charter One,5400
Tecnico Corp,5400
Teledyne Technologies,5400
Filter Recycling,5400
Kokosing Construction,5400
Fikes Wholesale,5400
Cofrm LLC,5400
Waste Industries,5400
Landmark Management Co,5400
Greylock,5400
Tfe,5400
Tfs Resources,5400
Third Security,5400
Quality First Home Improvement,5374
Little Piping & Mechanical,5350
Roth Law Firm,5300
Gmfs,5300
Asher's Chocolates,5300
Dakota Baseball,5300
Frontier Enterprises,5300
University of Mississippi,5300
Peterson Construction Co,5300
Beta Land Services,5300
Diversified Pacific Development,5300
Carroll Distributing Co,5300
Wake Forest Baptist Medical Center,5300
Centaur Inc,5300
Thompson Wrecking Co,5300
Oneil Group,5300
M&T Bank,5300
St John Properties,5300
Federal Policy Group,5300
Century 21,5300
Sunshine Gasoline,5300
Boggs Roofing,5300
Major Equipment & Remediation Services,5300
Progressive Swine Technologies,5300
Wiener Iron & Metal,5300
Watkins Uiberall Pllc,5300
Bill Clark Homes,5300
Arc Relocation,5300
4-K Marine,5300
Krapf Bus Companies,5300
L&F Distributors,5300
Windsor Jewelers,5300
Willoway Nurseries,5300
Marston Group,5300
Marine Terminals Corp,5300
Buffalo City Schools,5250
ACC Construction,5250
Rcb Bank,5250
Medical Assoc of Brevard,5250
Port of Morgan City,5250
Trident Marine Systems,5250
Committee to Defend the President,5250
Swehla Trucking,5250
National HealthCare Corp,5250
Ryan Llc,5248
Atlas Holdings,5244
State of Maryland,5200
Old National Bancorp,5200
CONSOL Energy,5200
Matteson Marine Service,5200
Stokley Development,5200
Lewis Investment Co,5200
Forefront Dermatology,5200
Rockwood Capital Management,5200
Clack Foundation,5200
G4S Secure Solutions,5177
Democracy Engine,5175
Mlr Partnership,5130
Halsey Assoc,5100
Cti Restaurants,5100
Realogy Corp,5075
First Site Development,5066
Farmers Bank,5050
International Development Group,5050
ConAgra Brands,5001
Star Chevrolet,5000
Fightin' Ninth PAC,5000
Standard Discount,5000
Standard Discount Co,5000
Aspetto Inc,5000
Micron Technology,5000
Capital Resorts Group,5000
Idaho Power,5000
International Warehouse Logistics Assn,5000
Arctic Slope Regional Corp,5000
"Rountree, Losee & Baldwin",5000
Arch Coal,5000
Right Group,5000
Goggins Trucking,5000
Lee's Ford Marina,5000
Patriots for Perry,5000
Hershey Co,5000
Arazoza Brothers Corp,5000
Ruoff Home Mortgage,5000
Gryphon Technologies,5000
Qualcomm Inc,5000
Restek Corp,5000
Quantum Lean LLC,5000
Paul Hastings LLP,5000
American Academy of Emergency Medicine,5000
Association of Equipment Manufacturers,5000
Association of KFC Franchisees,5000
Loudermilk for Congress,5000
Rinaldi & Rinaldi,5000
IDI Group Companies,5000
Alumi-Form Inc,5000
Invest in a Strong & Secure America,5000
Asurion Corp,5000
Preferred Metal Products,5000
Stevedoring,5000
Primary Care Centers of Eastern Kentucky,5000
Palmetto Infusion Services,5000
Lawson Construction Co,5000
Luck Co,5000
Powers Construction Co,5000
Liberty Hospitality Partners Lp,5000
Amalgamated Transit Union,5000
Stephen Development,5000
"Panza, Maurer & Maynard",5000
Steadfast Companies,5000
Park Bank,5000
Interwoven Inc,5000
Boilermakers Union,5000
Park Sq Realty,5000
Powerex,5000
Hoffman Group,5000
Pikeville Medical Center,5000
I-PAC JAX,5000
Hite Co,5000
RELX Inc,5000
Parkdale Mills,5000
First Coast Security,5000
Spirit of '76 PAC,5000
Sportsman's Warehouse,5000
Real Estate Invetor,5000
Gary Justeson Ranch,5000
American Peanut Shellers Assn,5000
Recyling Center,5000
School of Visual Arts,5000
Gemcor Inc,5000
"Carr, Riggs & Ingram",5000
Hamra Enterprises,5000
Missouri Farm Bureau,5000
Redding Rancheria,5000
"Missouri Farm Bureau Farm Pac, Southeast",5000
George Lewis Inc,5000
American Speech-Language-Hearing Assn,5000
Ann PAC,5000
Rent A Center West,5000
Gilchrist Automotive,5000
Habisreutinger & Black Foundation,5000
Cantsink Manufacturing LLC,5000
Mj Holding,5000
SNAC International,5000
Republican Party of West Virginia,5000
Faith Investment Properties,5000
Hurricane Hills Stable & Farms,5000
Petsmart Inc,5000
Independent Assn of Contnental Pi,5000
SK Hart Management,5000
Glen Raven Inc,5000
Republicans In Congress Empowering America,5000
Garden & Gun Magazine,5000
Senate Eagle PAC,5000
Rush Off-Road,5000
People PAC,5000
Go PAC Go,5000
Bobby Gale Chrysler,5000
First In Freedom PAC,5000
Raeford Farms,5000
Ryan Advisory Services,5000
Fitzgerald Glider Kits,5000
Fitzgerald Truck Parts & Sales,5000
Southland Amusement & Vending,5000
Gulf South Strategies USA LLC,5000
Southern Tire Mart,5000
Police Action Fund,5000
Raul Labrador for Governor,5000
Blue Star Strategies,5000
Pittsburgh Public Schools,5000
AmericanHort,5000
Rls Construction Group,5000
Sms Group,5000
Cdl Nuclear,5000
Franklin Resources,5000
Skinner Tax Consulting,5000
Point Blank Enterprises,5000
Glenn O'Hawbaker,5000
Singh Semiconductors,5000
Simpson Nurseries,5000
Freedom & Security PAC,5000
Ktc Management LLC,5000
Motel Ope,5000
Falk-Griffin Foundation,5000
Isagenix International,5000
Iowans for Latham,5000
Viatris Inc,5000
North Carolina Cotton Producers Assn,5000
Addiction Recovery Care,5000
Del Papa Distributing,5000
Defend Our Conservative Senate PAC,5000
VIGOP,5000
Van Kampen-Pierre Asset Management,5000
Das Companies,5000
Velasquez Group,5000
Clausen Coatings,5000
Northern Clearing,5000
Abcoa,5000
Axonic Properties,5000
Laboratory Corp of America,5000
Kawa Capital Management,5000
Cutolo Barros LLC,5000
Kbs Trucking,5000
Marathon Group,5000
Waccamaw Land & Timber,5000
Denaro Ventures,5000
Joml LLC,5000
Triton Woods,5000
Magnolia LNG,5000
Air Conditioning Contractors of America,5000
Drury Inns,5000
Cisco Systems,5000
Drc Emergency Services,5000
Dr John Joyce for Congress,5000
Dow Chemical Inc,5000
Madison Project,5000
US Beet Sugar Assn,5000
US Ecology,5000
Adtalem Global Education,5000
Aggregate & Ready Mix Assn,5000
US Radiology Specialists,5000
US Tool Group,5000
US-Cuba Democracy PAC,5000
Johnny's Oysters & Shrimp,5000
Strickland Readings,5000
Lad Savage LLC,5000
Bray Ace Hardware,5000
Wall Private Wealth,5000
National Assn of Vision Care Plans,5000
Crsc,5000
Community Toyota,5000
Cochran Firm,5000
Coraluzzo & Torrissi Transport,5000
Kustoff for Congress,5000
A&I Inc,5000
A&G Concrete Pools,5000
Marvin Development,5000
Connolly Realty Services,5000
Congressional Solutions Inc,5000
Youngdahl Insurance,5000
Kelly C Sills LLC,5000
Yti Career Institute,5000
Zachry Holdings,5000
National Peanut Buying Points Assn,5000
Kriebel Gas,5000
Zovio,5000
National Marine Manufacturers Assn,5000
Krog Group,5000
Barber Valley Development,5000
Badlands PAC,5000
Bpc Corp,5000
Westfield Group,5000
Courtesy Corp,5000
Marina @ Rowena LLC,5000
Newmont Corp,5000
Black Gold Sales Inc,5000
Kestrel Capital,5000
Weekly Realty Group,5000
Keurig Dr Pepper,5000
New World Strategies,5000
New Weigh,5000
Wehr Johnson Properties,5000
Cloud for Congress,5000
WellCare Health Plans,5000
Wenger's Feed Mill,5000
Coastal Bridge Co,5000
Covington & Burling,5000
Western Technical College (Texas),5000
King & Spalding,5000
Barnett Group,5000
Duane Morris LLP,5000
Advanced Concepts & Technologies Intl,5000
Dunes Realty,5000
Chiropratic Athletic Center,5000
TACO PAC,5000
Esg LP,5000
TN4U PAC,5000
Equipment Leasing & Finance Assn,5000
Tallon for Congress,5000
Environmental Chemical Corp,5000
Taylor Morrison Inc,5000
Teamsters Union,5000
EnergySolutions Inc,5000
Tenet Healthcare,5000
Empire Workforce Solutions,5000
On Wisconsin PAC,5000
Thoma Bravo LLC,5000
Alkermes Inc,5000
Brock International,5000
Brown-Forman Corp,5000
Bernhard Capital Partners,5000
Syngenta Corp,5000
Alpharetta Mohs Surgical Center LLC,5000
Iron Mountain Inc,5000
Sudberry Properties,5000
Sullivan Brothers Investments,5000
Sunovion Pharmaceuticals,5000
Irwin Financial Corp,5000
Superior Tire & Rubber,5000
Surgical Notes,5000
National Assn of Chain Drug Stores,5000
Exp Realty,5000
PGI Homes,5000
Alm Holding Co,5000
Exela Technologies,5000
PETE PAC,5000
Excalibur Insurance Management,5000
Eighty-Four Lumber,5000
Hope Medical Institute,5000
Education Center,5000
Oberndorf Enterprises,5000
Auto Trader,5000
ESG Enterprises,5000
Alabama Forestry Assn,5000
Tree Top Ranches,5000
Best Buy,5000
Ecolab Inc,5000
Treasure Coast Federal PAC,5000
Jarrett Bay Boatworks,5000
Chris Pringle for Congress,5000
EQT Corp,5000
Dutko Government Relations,5000
National Assn of Landscape Professionals,5000
TimkenSteel Corp,5000
Durden Enterprises,5000
Borgfeldt Co,4950
Everyday Manufacturing Co,4950
University of Tennessee,4925
Metropolitan Anesthesia Consultants,4875
Srns,4845
Washington Prime Group,4841
"Parker, Poe et al",4804
Campos Brothers Farms,4800
Miller & Martin,4800
Hunt Real Estate,4800
Automotive Service Assn,4800
Cray Inc,4800
Dia Konos Group,4800
Fatman's Cafe,4800
Jarvis Steel & Lumber,4800
Harbor Healthcare System,4800
John Roberts Toyota,4800
AECOM Global,4800
Whites Travel Center,4800
Comporium,4800
Hugh Chatham Memorial Hospital,4800
ABC Sand & Rock,4800
Frazee Investments,4800
Paramount Ltd,4800
AAA Cooper Transportation,4800
Blue Mountain Machine,4800
Clyde Armory,4800
Cherry Tree Dental,4800
Croy Engineering,4800
Robert A Bothman Construction,4800
Kee Bookkeeping,4800
Joyce & Assoc Construction Inc,4800
I2m,4800
Paul Rogers & Assoc,4800
Cumberland Supply Co,4800
Futren Corp,4800
Modulus,4800
Eagle Distributing,4800
Partners In Financial Planning,4800
Fidelity Engineering,4800
McKay Management,4800
Fit Shop 24,4800
Blasclak Coal,4800
Givens Pursley Law Firm,4800
Blue Renewable Energy,4800
Pcpi Manufacturing,4800
Cushman & Wakefield,4800
Memorial Eye Institute,4750
Pharmasphere Inc,4750
Anne Arundel Dermatology,4750
Moon Capital,4700
State of North Carolina,4700
Archer Auto Group,4700
Gray Analytics,4700
Thompson Tractor,4700
Forth Foods,4700
Sleiman Enterprises,4700
Physicians East,4650
Petersen Painting,4600
Statesboro Cardiology,4600
Immco Diagnostics,4600
Fsi Inc,4600
KFM Enterprises,4600
Lamparelli Construction,4600
Essential Utilities Inc,4600
Royal Caribbean Group,4600
Barona Band of Mission Indians,4600
Hanagriff Machine Shop,4600
Lesco Logistics,4600
Marshfield Clinic,4550
Freeport Lng Development,4550
Ainley Enterprises,4550
Speedy Arches Ltd,4550
Lincoln Energy Solutions,4550
Barclay Damon Llp,4550
Bramer Group,4550
Bj's Steak & Rib House,4541
Lewis & Wilkins Llp,4522
Tetra Tech,4510
Do Right Bayou,4500
Gannon & Assoc,4500
Galloway Insurance,4500
Tammac Corp,4500
Dcm Tec,4500
Society of Independent Gasoline Marketers,4500
Fabricon International,4500
Bahr Assoc,4500
B3 Strategies,4500
Southeastern Property Management,4500
Fox Corp,4500
Crossroads Strategies,4500
Kocha's Turkey Farms,4500
Skook,4500
Sundrop,4500
Lj Aviation,4500
Analytical Graphics Inc,4500
Simoncre,4500
Allison Heavy Haul,4500
Valley Electric,4500
Athens Pharmacy,4500
Columbia Recycling,4500
Hall Farms,4500
The Capital Corp,4500
Staiman Recycling,4500
RM Johnson Holding Co,4500
Missouri ACRE,4500
Texas First Bank,4500
State Farm Mutual Automobile Insurance,4500
Commodity Specialists Co,4500
Codell Construction,4500
American Principles,4500
Advantage Fire,4500
Advance America Cash Advance Centers,4500
Schaller Tool & Die,4500
National Assn of Mortgage Brokers,4500
Peoples Services Inc,4500
Tms Excavating,4500
Steel Manufacturers Assn,4500
Arizona Wildlife Zoo,4500
University of Pittsburgh Medical Center,4440
Natural Products Assn,4415
NWF Contractors Inc,4400
Eastern Carolina Ent,4400
Waukesha State Bank,4350
"Bose, McKinney & Evans",4341
Glenn O Hawbaker Inc,4300
East Carolina Urology,4300
Inner Banks Media,4300
Estill Ranches LLC,4300
Advanced Orthopedics,4300
East Penn Manufacturing,4300
Safe Harbor,4300
Bevilacqua Research Corp,4300
Paul Bunyan Restaurant,4300
Durrill Properties,4300
Michael Best Strategies,4300
Home Builders Supply Co,4300
Intersect Advisers,4300
Trimble,4300
Hollis & Spann,4300
White Realty,4300
Volm Companies,4300
Ward Transport & Logistics,4300
Pine River Lumber,4300
JM Hutton & Co,4295
HBW Resources,4250
Champion Inc,4250
Hodgson Russ LLP,4250
Jeff Miller for Congress,4250
Stallings Group Ltd,4200
Eureka Resources LLC,4200
Bva,4200
Fraley Truck,4200
Dtc Communications,4200
Micronova Manufacturing,4200
Cms7 LLC,4141
Cummins Inc,4106
Gem Products,4100
Yelcot Communications,4100
Yelcot Holding Group,4100
Capitol Strategies Group,4100
American Family Insurance,4050
Bmo Harris Bank,4050
Ab Beverage,4050
Mo Strategies,4032
Zastrow the Beer Man,4020
TD Bank USA,4020
S-101,4000
Ducc,4000
Thorn Run Partners,4000
Old North State PAC,4000
Remmey-the Pallet Co,4000
Childers Oil Group,4000
Northern Lakes Amusement,4000
Pillow & Pillow LLC,4000
Phelan Insurance,4000
Total System Services,4000
Mountain Companies,4000
Grayson B&W,4000
Burgess Pigment Co,4000
"Humphrey, Farrington & McClain",4000
Jason Smith for Congress,4000
Good Fund,4000
Buschur Leasing LLC,4000
McDonald's of East Ky,4000
Ryan for Congress,4000
Eastern Cardiology PA,4000
Ridewell Suspensions,4000
Ricker Oil,4000
Keller Engineers,4000
Goetze's Candy,4000
Godfrey & Kahn,4000
Duffy for Wisconsin,4000
Rohrer Bus,4000
Together for Our Majority,4000
Ges Inc,4000
Wesson & Mothershed,4000
Epb,4000
TYR Tactical,4000
Day & Zimmermann,4000
Ingram Enterprises,4000
JH Fletcher & Co,4000
Shasta County Republican Central Cmte,4000
American Iron & Steel Institute,4000
Friends of Mike H,4000
L&K Consulting,4000
Allied Machine & Engineering,4000
Historic Mission Inn Corp,4000
Bug House Pest Control,4000
Clarksville Gun & Archery,4000
Crc Global Solutions,4000
"Faegre, Drinker et al",4000
WM Grace Co,4000
Kanakuk Kamps,4000
Panama City Urological Center,4000
Westinghouse Electric,4000
Kceoc,4000
Nanco,4000
Payne & Dolan,4000
State Bank of Southwest Mo,4000
Abbott Oil,4000
CAPITOL COUNSEL,4000
Cash Depot,4000
American Osteopathic Assn,4000
Scott M&A,4000
Allen Engineering,4000
Terwilliger's Auto Service,4000
VT Halter Marine,4000
Empire-Capitol Strategies,4000
Bennett Group,4000
OrrinPAC,4000
Klipsch Inc,4000
AVG Advanced Technologies,3950
Express Scripts,3950
Medical Dermatology Assoc,3950
Arcilla Mining & Land Co,3924
Williams Barrett & Wilkowski Llp,3916
Renasant Bank,3900
Royer Corp,3900
Zenner & Ritter,3875
Ludwikoski & Assoc,3850
"Martin, Hopkins & Lemon",3850
Grenader Properties,3800
O'Connor & Hewitt Foundation,3800
Westmoreland Co,3800
Thomas Welding & Mach,3800
Dunafon Management,3800
Paramont Manufacturing,3800
Energex Corp,3800
Conafay Group,3800
Independent Petroleum Assn of America,3800
MB Jones Oil Co,3800
First Regents Bancservices,3800
Food Warming Equipment Co,3800
MRW Enviornmental,3800
Rice Services,3800
Greater Properties,3800
Brodyco Inc,3800
East Carolina Anesthesia Assoc,3800
Continental Ga Corp,3800
Mobley Plant Co,3800
Ingram Barge Co,3800
Taxslayet,3800
Choptank Transport,3800
Engine Power Source,3800
Winco Fireworks,3800
Tiger Rentals,3800
Jacob Title,3800
Enexor,3800
Itex Group,3800
Rocket City PAC,3800
Wright's Scrap Metal,3800
Cone Distributing,3800
Schahet Hotels,3800
"Cobb, Lundquist & Atnip",3800
Schahet Hotels LLC,3800
Buddy Clawson Construction,3800
McLaughlin Group,3800
KW Zellers & Son,3800
Citizens Bank,3800
USA Capital Finance,3800
Lackland Holdings,3800
Hancock Bank,3800
Walden Security,3800
Hickman's Egg Ranch,3800
Ag Seeds Unltd,3800
Harbor Club,3800
Dechert Llp,3800
CNS Corp,3800
Clayton Construction Co,3800
Beaver Excavating,3800
Power Line Construction,3800
Northeast Foods,3800
Pruet Production Co,3800
Douglas Outdoor Advertising,3800
Lafayette Terminal Co,3758
Maverick PAC,3750
Grand Home Furnishings,3750
American Investment Council,3750
Rockingham Construction,3750
Aultman Hospital,3750
Trotter Orthodontics,3750
Haverstick Consulting,3741
Tenax Aerospace,3700
Law Office of Mark Langfan,3700
Energy Weldfab,3700
Clean Fuels National,3700
Eleanor Crook Foundation,3700
Elliott Law Firm,3700
Mta Distributors,3700
Harrington Corp,3700
Phoenix Va Hospital,3700
Missouri Vein Care,3700
Service Pump & Supply,3700
Waterways Council,3700
Middletown Tube Works,3700
Hendrick Barbour Honda,3700
Huntsville Cardiology,3700
Thurman Campbell Group,3650
Crossgates Inc,3600
LJ Bardswich Mine Consultant,3550
Career Education Colleges & Universities,3542
Covestro LLC,3525
State of Arizona,3523
Ibsen Enterprises,3500
Boat Mate,3500
Scotch & Gulf Lumber,3500
Oral & Maxillofacial Sugeon Sw Pllc,3500
"Ryan, Mackinnon et al",3500
Technical Maintenance Support Inc,3500
New Pig Corp,3500
"Darling, Rothschild & Scott",3500
Blackburn's Physicians Pharmacy,3500
Integrity Homecare,3500
American Bank,3500
LSEG US,3500
Mister U Enterprises,3500
Medical Specialists Inc,3500
Qualico Steel,3500
WV Aqua,3500
American Assn for Homecare,3500
Johns Hopkins University,3500
University of South Florida,3500
Sabine Neches Navigation District,3500
Holland & Hart,3500
Boat Mate Trailers,3500
White Sands Anesthesia & Pain Medici,3500
Farnsworth Companies,3500
Anne Arundel Urology,3500
Whitaker Sales,3500
Farmer Enterprises,3500
Pence's Variety Store,3500
First Freedom Bank,3500
"Lopez, Severt & Pratt",3500
Ag Services,3500
Yelp Inc,3500
Brown & Wood Gmc,3500
"Jefferson County, TX",3500
Cherokee Distributing,3500
CUNA Mutual Insurance Society,3500
Zip Scripts,3500
Kreamer Automotive Service,3500
Wellness Pharmacy,3500
Farmers Group,3500
Cameron Companies,3500
Texas & Southwestern Cattle Raisers,3500
Thorsen French Advocacy,3500
McDonalds O,3500
Treemont Capital,3500
Swisher International,3500
Mississippi Band of Choctaw Indians,3500
Glasstech Services,3500
Imler's Poultry,3500
Fcs,3500
Empire Education Group,3500
Tri F Partnership,3499
Jones Companies,3483
Marshall University,3450
MPI Business,3450
Foley & Lardner,3416
Tenaris,3380
Raymond James & Assoc,3300
Lb Water,3300
Crescent River Port Pilots,3300
Pioneer Natural Resources,3300
Tennessee Grass Fed,3300
Aon,3300
Rm Palmer Co,3300
Citation Homes,3300
Quadrel Inc,3300
John Bouchard & Sons,3300
Victoria Eye Center,3300
Dynasplint Systems,3300
Jan-Care Ambulance,3300
Etico Construction Group,3300
CMG Leasing,3300
J&S Concrete,3300
Boston Government Services,3300
McGlinchey Stafford Pllc,3300
Kreamer Feed,3300
Herbert Distributing Co,3300
ABB Group,3300
BD Advisors LLC,3300
Advanced Urology Institute,3300
C Doornbos 4 LP,3250
Formosa Plastics,3250
F&M Bank,3250
Ruff Roofers,3250
Northgate Petroleum,3250
Lehman Johnson Attorneys,3250
Fecr,3200
Abacus Management,3200
Preston Hood Chevrolet,3200
ESC Lab Sciences,3200
Clark,3200
L-3 Harris Corp,3200
Kingsgate Logistics,3200
Hebert Construction & Rental Co,3150
AdvaMed,3150
Blanchard Calhoun,3150
Cockrell Eyecare Center,3150
Keller Group,3125
Progressive Vision Institute,3100
Live Green Landscape Assoc,3100
Plant Improvement Co,3060
Donald Loucks Special Campaign Account,3056
Curtis Mathis Home Cent,3050
Swain Electric,3050
All Tax LLC,3050
"Bass, Berry & Sims",3050
Myakka Communications,3050
Bay Radiology Assoc,3050
Arcilla Mining & Land,3050
K-VA-T Food Stores,3050
McCorkle Farms,3050
Vip Tooling,3000
Us Chamber of Commerce,3000
Dbi Beverage,3000
National Alliance of Forest Owners,3000
Tennessee Orthopedic Alliance,3000
Star Transportations,3000
Jenkins Fenstermaker,3000
Litchfield Co,3000
Commercial Metals Co,3000
Industrial Supply,3000
Beavertown Block Co,3000
Augusta Family Dentistry,3000
Jim Hudson Lexus,3000
Brand Properties LLC,3000
"Buchanan, Ingersoll & Rooney",3000
Venture Builders LLC,3000
Cummings Lumber,3000
"Tannehill, Carmean & McKenzie",3000
Greystone,3000
Info Trac,3000
Resolute Ventures,3000
702 Carter Road LLC,3000
Holladay Properties,3000
McLain Catering,3000
Intercontinental Exchange Inc,3000
JMG Realty,3000
Doterra International,3000
Colusa Industrial Properties,3000
Bowkirk Medical LLC,3000
Gatormade Trailers,3000
Fairfax Development Inc,3000
Methodist Medical Center,3000
Suttle Stalnaker CPAs,3000
FSS Management LLC,3000
American Academy of Child & Adolescent Psychiatry,3000
Jet USA Holdings,3000
Clarksville Pediatric Dentists,3000
Capitol Hill Consulting Group,3000
Deer Park Lumber,3000
Committee To Elect Jeremy Faison,3000
Global USA Inc,3000
Jrf Properties LLC,3000
Winston & Strawn,3000
Psc,3000
JEMB Realty,3000
Invariant,3000
Friends of Bill Posey,3000
Apartment & Commercial Services,3000
Laurel Medical Supplies,3000
Ruby-Collins Inc,3000
Howard Industries,3000
American Gas Assn,3000
Southside Bank,3000
National Sorghum Producers,3000
Bunge North America,3000
Long Badger Sheller & Smith,3000
Ohio Farm Bureau,3000
Ruxton Chocolates,3000
Threlkeld & Co,3000
In & Out Minimart,3000
Rwoc Propertues,3000
Powell Companies,3000
Bessemer Venture Partners,3000
"City of Biloxi, MS",3000
Cohen Brothers,3000
Distinguished Beauty Products LLC,3000
Maclean-Fogg Co,3000
UCB Inc,3000
Trek Resources,3000
GrayRobinson PA,3000
Texas Jet,3000
Delta Capital Research LLC,3000
Southeast Vocational Alliance,3000
Perspecta Inc,3000
Cardiac Consultants,3000
98point6 Inc,3000
Pocahontas Medical Clinic,3000
Southeast Petro Dist,3000
NASDAQ Inc,3000
University of Texas Medical Branch,3000
Barker Leavitt Pllc,3000
Real LLC,3000
Carolina Orthopaedic Surgery Assoc,3000
Anchor Management,3000
Mountain Productions,3000
PRAIRIE'S EDGE DAIRY FARMS,2950
AMS Corp,2925
Lhp Inc,2916
John Frick & Assoc,2916
Indiana Economic Development Foundatio,2916
Liteye Systems,2900
High Tec Industrial Services,2900
Penns Cave Airport,2900
Sandor Development,2900
Southern Orthopedic Specialists,2900
Veritas Global Protection,2900
Green LLC,2860
"Hulsey, McCormick & Wallace",2855
"Prince, Yeates & Geldzahler",2850
Streamline Industries,2817
TeamHealth Inc,2817
CC Clark Inc,2813
West Chester University,2801
Ironclad Title,2800
McKay Mgmt,2800
Summit Partners,2800
Inverness Holdings,2800
Inventor Rights PAC,2800
AJ Dwoskin & Assoc,2800
Daniel Defense,2800
Fashion Boutique,2800
Claw Forestry,2800
Western National Property Management,2800
Steinemann Co,2800
Fechtel Co,2800
Kimble Co,2800
Kaitar Resources,2800
Parsons School of Design,2800
Land Mgr,2800
Fenstermaker LLC,2800
W&O Construction,2800
Vitoria PAC,2800
America's Pizza Co,2800
D&L Inc,2800
W Strategies,2800
Atlanta Communities,2800
Atlantic Funding Ltd LLC,2800
Patent Licensing,2800
Stevenson Weir,2800
Eyewear Boutique,2800
Stevenson-Weir,2800
Bg,2800
Fadi Kayyali Inc,2800
Preble-Rish,2800
Fairhaven Partners,2800
FNB Corp,2800
WO Powers Foundation,2800
Pacific Companies,2800
Streamline Industries LLC,2800
Strand Hospitality LLC,2800
Strand Development,2800
"Stradley, Ronon et al",2800
Cer-Vue Lp,2800
Stoops Buick Gmc,2800
Sullivan Companies,2800
Faris Properties LLC,2800
Stonehenge Real Estate,2800
PNC Bank Corp,2800
Stifel Nicolaus Inc,2800
Farmer & Malone Law Offices,2800
Lanahan Lumber Co,2800
Sullivan Land Services,2800
Stewart Home School,2800
Buch Construction,2800
Stevenson-Weir Construction,2800
Buc-Ee's,2800
Keiland Construction LLC,2800
Creative Solutions in Health Care,2800
United Bankshares,2800
Offerdahl Family Foundation,2800
"Clerk & Comptroller, Palm Beach County",2800
ES-O-EN Management,2800
Lafayette General Medical Center,2800
Crosswind Communications,2800
Wbl Capital LLC,2800
Dixie Souveigneers,2800
Uhm,2800
Aladdin Construction Co,2800
Blacklidge Emulsions,2800
Majestic Realty,2800
Advanced Employee Services,2800
Devall Offshore LLC,2800
Janetco,2800
Ohio Cat,2800
Northside Anesthesiology,2800
Ebon Falcon LLC,2800
Fidelity Mechanical Services,2800
Albarell Electic,2800
Mac Papers,2800
Design Founder,2800
